رقم العمليه,التاريخ,الصنف,الكمية,السعر,الإجمالي,المدفوع,المتبقي,المتبقي الكلي,ملاحظه,الوقت
1,05/10/2023,لاصق,576,28,16128,16128,0,0,الملاحظات,21:21:49
2,05/10/2023,ملح,10,15,150,150,0,0,الملاحظات,21:22:07
3,05/10/2023,شكائر ارز خطاب 25 ك,3,640,1920,1920,0,0,الملاحظات,21:23:07
4,05/10/2023,شكائر ارز رفيع طبيعي 25 ك,295,525,154875,154875,0,0,الملاحظات,21:23:44
5,05/10/2023,شكائر ارز خليط 25 ك,80,540,43200,43200,0,0,الملاحظات,21:24:14
6,05/10/2023,شكائر سكر 50 ك,202,1740,351480,351480,0,0,الملاحظات,21:36:23
7,08/10/2023,جراكن زيت,2,0,0,0,0,0,الملاحظات,23:33:55
8,14/10/2023,جراكن زيت,2,0,0,0,0,0,الملاحظات,02:20:28
9,14/10/2023,جراكن زيت,20,0,0,0,0,0,الملاحظات,22:09:00
